description,category
paid for digital marketing cleared this month,marketing
team dinner and bowling after sprint done this month cleared cleared this month,entertainment
subscribed to streaming service today,entertainment
employee medical allowance this month done cleared today,healthcare
Flight ticket Bangalore cleared done this month,travel
recharge metro for the week this month done,transport
PVR movie tickets cleared this month today,entertainment
petrol bharwaya,transport
interstate business visit cleared,travel
makaan malik ko diya cleared,rent
Swiggy dinner order,food
Friday movie night today done,entertainment
Staples stationery today done,shopping
Society maintenance cleared this month this month,utilities
groceries this month this month today,food
paani ka bill today done cleared done,utilities
weekly vegetable haul done done today cleared,food
Fiverr earnings cleared,salary
Nykaa products cleared today cleared,shopping
flipkart this month this month,shopping
bought raw materials from vendor done,raw_material
dawa kharidi this month cleared cleared,healthcare
project wrapped payment came this month,salary
entertanment done,entertainment
books today,education
ola cleared this month,transport
brand visibility spend done this month,marketing
dukaan ka kiraya this month cleared done,rent
tax this month done cleared,misc
Big Basket groceries today cleared today,food
water bill done cleared done done,utilities
Educational software done,education
bought raw materials from vendor done cleared,raw_material
sourced from new vendor this time today cleared,raw_material
Mobile accessories done done this month,shopping
Ola ride to client this month done done today,transport
paid for skill upgrade training cleared cleared,education
Piped gas bill MGNGL done this month this month done today,utilities
course cleared,education
Udemy course purchase done today,education
Educational software cleared this month today,education
App project payment done cleared,salary
hospital cleared,healthcare
halwai se mithai li diwali ke liye this month cleared cleared this month,food
electricty bill cleared,utilities
ordered food for working late today,food
supplies today,shopping
rent paymnt this month,rent
netflix done done today,entertainment
Piped gas bill MGNGL done cleared,utilities
Influencer collaboration cleared done,marketing
Bowling alley cleared cleared done,entertainment
clearing the petty cash this month,misc
Tata Power monthly bill today this month,utilities
Petty cash withdrawal done today this month,misc
